classifier,arch_type,attack,label,cpop,fs,lid,lid_ext,maha,kd
resnet50,CNN,FGSM,0,-0.31861209869384766,0.5363306403160095,78.43916320800781,78.43916320800781,14.60783576965332,0.5655183792114258
resnet50,CNN,FGSM,1,-0.031003542244434357,0.7490170001983643,50.03638458251953,50.03638458251953,13.942473411560059,0.5142340660095215
resnet50,CNN,FGSM,0,-0.14963476359844208,0.3025360107421875,52.04574203491211,52.04574203491211,17.15938949584961,0.6295580863952637
resnet50,CNN,FGSM,1,-0.030591346323490143,0.39916521310806274,37.804481506347656,37.804481506347656,14.733819961547852,0.5317544937133789
resnet50,CNN,FGSM,0,-0.18916265666484833,0.3873673677444458,51.30413055419922,51.30413055419922,13.82745361328125,0.49058055877685547
resnet50,CNN,FGSM,1,-0.02996903657913208,0.5796372890472412,92.40118408203125,92.40118408203125,14.116582870483398,0.5671281814575195
resnet50,CNN,FGSM,0,-0.08067501336336136,0.18912503123283386,65.3897476196289,65.3897476196289,13.51384449005127,0.4859600067138672
resnet50,CNN,FGSM,1,-0.02591196447610855,0.5286707878112793,90.59656524658203,90.59656524658203,16.470947265625,0.5903115272521973
resnet50,CNN,FGSM,0,-0.0849592313170433,0.3546629846096039,45.74186325073242,45.74186325073242,14.115842819213867,0.5505232810974121
resnet50,CNN,FGSM,1,-0.029742509126663208,0.2667234241962433,44.643035888671875,44.643035888671875,13.744438171386719,0.551262378692627
resnet50,CNN,FGSM,0,-0.10281959921121597,0.3725717067718506,43.898250579833984,43.898250579833984,14.50560474395752,0.5975384712219238
resnet50,CNN,FGSM,1,-0.02723515033721924,0.25891298055648804,88.53524017333984,88.53524017333984,14.2086820602417,0.5382986068725586
resnet50,CNN,FGSM,0,-0.19526144862174988,0.4321823716163635,30.671680450439453,30.671680450439453,14.650213241577148,0.5649714469909668
resnet50,CNN,FGSM,1,-0.029638849198818207,0.3544498085975647,25.060192108154297,25.060192108154297,16.24237060546875,0.5824437141418457
resnet50,CNN,FGSM,0,-0.08058805018663406,0.30669698119163513,58.3324089050293,58.3324089050293,16.89532470703125,0.6821150779724121
resnet50,CNN,FGSM,1,-0.025545932352542877,0.49805113673210144,92.2499008178711,92.2499008178711,12.975940704345703,0.5724735260009766
resnet50,CNN,FGSM,0,-0.25903820991516113,0.4519461691379547,64.92190551757812,64.92190551757812,9.218523979187012,0.4270753860473633
resnet50,CNN,FGSM,1,-0.030150018632411957,0.9758486747741699,39.093475341796875,39.093475341796875,17.153316497802734,0.6517987251281738
resnet50,CNN,FGSM,0,-0.17793692648410797,0.33707040548324585,60.339637756347656,60.339637756347656,13.681455612182617,0.4650869369506836
resnet50,CNN,FGSM,1,-0.03244524449110031,0.28598669171333313,69.34395599365234,69.34395599365234,11.589460372924805,0.44207334518432617
resnet50,CNN,FGSM,0,-0.02915205806493759,0.35130172967910767,95.11846160888672,95.11846160888672,15.045892715454102,0.6527137756347656
resnet50,CNN,FGSM,1,-0.015849150717258453,0.26774969696998596,46.17060852050781,46.17060852050781,12.351426124572754,0.5210227966308594
resnet50,CNN,FGSM,0,-0.2104877084493637,0.30624720454216003,69.60661315917969,69.60661315917969,14.701518058776855,0.5042409896850586
resnet50,CNN,FGSM,1,-0.04236801713705063,0.3915000259876251,62.417510986328125,62.417510986328125,14.996020317077637,0.5315213203430176
resnet50,CNN,FGSM,0,-0.27585428953170776,0.41685518622398376,131.80050659179688,131.80050659179688,14.158905982971191,0.6720857620239258
resnet50,CNN,FGSM,1,-0.03644593060016632,0.6966677308082581,194.83187866210938,194.83187866210938,19.86777687072754,0.9929022789001465
resnet50,CNN,FGSM,0,-0.17748740315437317,0.5246779918670654,83.21910858154297,83.21910858154297,12.81197452545166,0.551762580871582
resnet50,CNN,FGSM,1,-0.031001925468444824,0.4140774607658386,40.76759338378906,40.76759338378906,12.982438087463379,0.4962434768676758
resnet50,CNN,FGSM,0,-0.07540241628885269,0.17737172544002533,26.93756103515625,26.93756103515625,15.149009704589844,0.4275093078613281
resnet50,CNN,FGSM,1,-0.02649489790201187,0.17062069475650787,35.951019287109375,35.951019287109375,12.287670135498047,0.3802618980407715
resnet50,CNN,FGSM,0,-0.12649710476398468,0.4249798357486725,109.7480239868164,109.7480239868164,17.907970428466797,0.7396907806396484
resnet50,CNN,FGSM,1,-0.03071652352809906,0.5144546031951904,82.25724792480469,82.25724792480469,16.1301326751709,0.630406379699707
resnet50,CNN,FGSM,0,-0.07422754168510437,0.19120842218399048,20.70857048034668,20.70857048034668,15.881032943725586,0.39539003372192383
resnet50,CNN,FGSM,1,-0.02376825362443924,0.5024726986885071,26.76566505432129,26.76566505432129,13.505172729492188,0.3890213966369629
resnet50,CNN,FGSM,0,-0.035612352192401886,0.4843440055847168,93.67999267578125,93.67999267578125,18.103111267089844,0.7603726387023926
resnet50,CNN,FGSM,1,-0.017739638686180115,0.5370239019393921,104.70216369628906,104.70216369628906,15.24338150024414,0.6454677581787109
resnet50,CNN,FGSM,0,-0.041000619530677795,0.3089204430580139,71.86013793945312,71.86013793945312,18.545629501342773,0.8526830673217773
